 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
57,Mutono,Ananthu,Lamberton et al,Ongoing transmission,2015,Onchocerciasis Transmission in Ghana: Persistence under Different Control Strategies and the Role of the Simuliid Vectors,PLoS Neglected Tropical Diseases,09:04,NA,Ghana,OCP,,Dodi Papase,2009-2011,Black flies,Black flies- 1195,savannah,"Simulium damnosum s.l, simulium damnosum s.s, simulium sirbanum, Simulium soubrense beffa form, simulium squamosum, simulium yahense",66.80%,16.8,,,,Yes,Yes (OCP),,,1993,"1981, 1998",18,5,annual,,,60-80%,,,,,,,,,,,,,,,,,Yes-for flies,Yes,0% (UCL- 0.9%),1195,"Flies were collected using Bellec sticky traps, Monk's wood light trap, human-baited tent, cow-baited tent, flies tested through PCR-BLAST, No O.ochengi found",,0% of flies were infective ,,,,,
57,Mutono,Ananthu,Lamberton et al,Ongoing transmission,2015,Onchocerciasis Transmission in Ghana: Persistence under Different Control Strategies and the Role of the Simuliid Vectors,PLoS Neglected Tropical Diseases,09:04,NA,Ghana,OCP,,Pillar 83/Djodji,2009-2011,Black flies,Black flies- 4603,savannah,"Simulium damnosum s.l, simulium damnosum s.s, simulium sirbanum, Simulium soubrense beffa form, simulium squamosum, simulium yahense",,,,,,Yes,Yes (OCP),,,1993,"1981, 1988",18,15,annual,multiple in 1993-1997,,>80%,,,,,,,,,,,,,,,,,Yes-for flies,Yes,0% (UCL- 2.6%),4603,"Flies were collected using Bellec sticky traps, Monk's wood light trap, human-baited tent, cow-baited tent, flies tested through PCR-BLAST, No O.ochengi found",,0% of flies were infective ,,,,4,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Toll bridge village,"2006, 2009",,50,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,3.60%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,12%,,38%,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Buabenso village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,60%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Adwuman village,"2006, 2009",,50,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",47%,,,75%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,50%,,52%,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Akropong village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,70%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Kyekyewere village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,23%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Amoafo village,"2006, 2009",,32,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",85%,,,59%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,41%,,47%,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Badowa village,"2006, 2009",,30,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",92%,,,67%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,13%,,20%,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Foso village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",92%,,,71%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Nyaduom village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",83%,,,85%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Asaman village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",89%,,,69%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Awisam village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",89%,,,72%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Asma Camp village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",90%,,,71%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Zion Camp village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,50%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Buabin village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,40%,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,,,,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
58,Anita,Mutono,Garms et al,Ongoing transmission,2015,"Assessments of the transmission of Onchocerca volvulus by Simulium sanctipauli in the Upper Denkyira District, Ghana, and the intermittent disappearance of the vector",Parasitol Res,114:03:00,1129-1137,Ghana,OCP,,Imbraim village,"2006, 2009",,,Forest,"Simulium sanctipauli Pra Form, Simulium yahense",,,,,,Yes,No,,Yes,1999,,10,,annual,,,,,,,,,,13%,,10%,No. positive / number examined *100,,,,,,,,Yes,2.80%,1750,,,"The study aimed to look at transmission parameters. Human landing catches (HLC), the standard method to collect blackflies was used. ",,,,,
59,Ananthu,Anita,Wanji et al,Ongoing transmission,2015,Situation analysis of parasitological and entomological indices of onchocerciasis transmission in three drainage basins of the rain forest of South West Cameroon after a decade of ivermectin treatment,Parasites Vectors,8(202),NA,Cameroon,APOC,,Manyu River Basin,2011-2012,Aged 5 and above,761; 637a & 124c,Rain-forest,"Simulium damnosum s.s, Simulium squamosum A and C",96.80%,-,-,71.40%,-,Yes,No,,No,1999,-,10-Dec,-,Annual,,95-100%,>65%,,-,27.70%,,,,28.20%,251/761,33.80%,No. positive / number examined *100,251/761,3.6 mf/s,2 skin biopsies from iliac crests using 2 mm corneo-scleral punch and incubated in normal saline for 24 hours,microscope,,,,Yes,4.50%,8091,"Clinic Based Treatment with Ivermectin, Mf prevalence in children-28.2%, Nodule prevalene in chidlren-17.7%, high non-adherence due to fears of side effects",Loa loa,"MTP-299.3, MBR-39547",,MTP-299.3,MBR-39547,,
59,Ananthu,Anita,Wanji et al,Ongoing transmission,2015,Situation analysis of parasitological and entomological indices of onchocerciasis transmission in three drainage basins of the rain forest of South West Cameroon after a decade of ivermectin treatment,Parasites Vectors,8(202),NA,Cameroon,APOC,,Mungo Drainage Basin,2011-2012,Aged 5 and above,995; 697a & 298c,Rain-forest,"Simulium damnosum s.s, Simulium squamosum A and C",78.78%,32.32%,-,19.66%,-,Yes,No,,No,1999,-,10-Dec,-,Annual,,95-100%,>65%,,-,27.70%,,,,32.70%,331/995,42.50%,No. positive / number examined *100,408/995,3.7 mf/s,2 skin biopsies from iliac crests using 2 mm corneo-scleral punch and incubated in normal saline for 24 hours,microscope,,,,Yes,8.70%,6067,"Mf prevalence in children-40.3%, Nodule prevalene in chidlren-29.5%, high non-adherence due to fears of side effects",,"MTP-731, MBR-18522",,MTP-731,MBR-18522,,
59,Ananthu,Anita,Wanji et al,Ongoing transmission,2015,Situation analysis of parasitological and entomological indices of onchocerciasis transmission in three drainage basins of the rain forest of South West Cameroon after a decade of ivermectin treatment,Parasites Vectors,8(202),NA,Cameroon,APOC,,Meme Drainage Basins,2011-2012,Aged 5 and above,1041 adults,Rain-forest,"Simulium damnosum s.s, Simulium squamosum A and C",78.78%,32.32%,"(Monthly values)
418 ",19.66%,(Monthly values)10248,Yes,No,,No,1999,-,10-Dec,-,Annual,,95-100%,>65%,,-,27.70%,,,,36.20%,407/1041,54.30%,No. positive / number examined *100,549/1041,5.2 mf/s,2 skin biopsies from iliac crests using 2 mm corneo-scleral punch and incubated in normal saline for 24 hours,microscope,,,,Yes,13.70%,5996,"Mf prevalence in children-52.7%, Nodule prevalene in chidlren-39.1%,high non-adherence due to fears of side effects",,"MTP-810, MBR-12102",,MTP-810,MBR-12102,,
60,Ananthu,Anita,Hendy et al,Ongoing transmission,2018,"The blackfly vectors and transmission of Onchocerca volvulus in Mahenge, south eastern Tanzania",Acta Trop,181:NA,50-59,Tanzania,APOC,National Onchocerciasis Control Programme of Tanzania,Mahenge focus,2015-2016,Black flies,12452,Forest,"Simulium damnosum s.l, Simulium neavei, Simulium vorax, Simulium adersi, Simulium hargreavesi, Simulium hirsutum, Simulium mcmahoni, Simulium rotundum, Simulium nyasalandicum",>-60%,-,-,-,-,Yes,No,,No,1994,-,19,-,Annual,-,-,76%,,,,,,-,-,-,"8.3% (mean value per village); 
Max: 21.9%","Taken from literature 
(data corresponds to 2009)",-,2.2,-,,-,,Yes- using triplex real-time PCR (Ov PCR),Yes,0.57% (UCL 0.74%),16911,"For simulium nyasalandicum, 32 flies were caught, and 0 were infective",,Estimated percentage of Simulium damnosum carrying infective L3 stage parasites = 0.57% (95% CI: 0.43-0.74%),,,,,
61,Ananthu,Maria-Gloria,Yaya et al,Ongoing transmission,2014,Elimination or control of the onchocerciasis in Africa? Case of Gami village in Central African Republic,Bull Soc Pathol Exot,107:03:00,188-193,Central African Republic,APOC,,Gami,2010,,393 people <5 years,,Simulium damnosum s.l,88%,,,36%,,Yes,No,,,,,20,,Annual,,,75%,,,<1%,,,,8%,,16%,No. positive / number examined *100. They examined population 20 years and above,,0.46 mf/s,2 skin snip with scalpel and incubated for 12 hours in saline.,microscope,,,,,,,,,Blindness rate is nearly 10%,,,,,
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Adzope ,2007-2016,Aged 5 or above,142,Forest,Simulium damnosum s.l,85.00%,15.09,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,74%,,40%-54%,-,,-,-,-,-,0.00%,100*No. positive/number examined,0/142,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Oume,2007-2016,Aged 5 or above,119,Forest,Simulium damnosum s.l,71.50%,36.8,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,79,,40%-54%,-,,-,-,-,-,0.80%,100*No. positive/number examined,1/119,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Agboville,2007-2016,Aged 5 or above,1161,Forest,Simulium damnosum s.l,70.10%,18.46,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,,,40%-54%,-,,-,-,-,-,1.00%,100*No. positive/number examined,12/1161,0.02,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Touba,2007-2016,Aged 5 or above,1709,Savannah,Simulium damnosum s.l,66.70%,31.21,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,82%,2013,40%-54%,-,,-,-,-,-,5.20%,100*No. positive/number examined,89/1709,0.31,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,3
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Man,2007-2016,Aged 5 or above,1553,Forest,Simulium damnosum s.l,65.90%,20.22,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,17,5,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,17.10%,100*No. positive/number examined,265/1553,0.05,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Alepe,2007-2016,Aged 5 or above,358,Forest,Simulium damnosum s.l,64.00%,21.32,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,19,5,Annual,1995-1996,-,86%,2015,40%-54%,-,,-,-,-,-,45.50%,100*No. positive/number examined,163/358,2.72,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Soubre,2007-2016,Aged 5 or above,393,Forest,Simulium damnosum s.l,62.50%,27.66,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,-,,40%-54%,-,,-,-,-,-,30.30%,100*No. positive/number examined,119/393,1.39,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Tengrela,2007-2016,Aged 5 or above,521,Savannah,Simulium damnosum s.l,59.40%,13.56,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,-,,40%-54%,-,,-,-,-,-,0.40%,100*No. positive/number examined,2/521,0.01,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Agnibilékro,2007-2016,Aged 5 or above,358,Forest,Simulium damnosum s.l,58.80%,11.34,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,83%,2015,40%-54%,-,,-,-,-,-,4.50%,100*No. positive/number examined,16/358,0.35,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Sassandra,2007-2016,Aged 5 or above,463,Forest,Simulium damnosum s.l,57.00%,13.46,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,-,,40%-54%,-,,-,-,-,-,21.40%,100*No. positive/number examined,99/463,1.31,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Danane,2007-2016,Aged 5 or above,160,Forest,Simulium damnosum s.l,53.60%,6.69,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,80%,2015,40%-54%,-,,-,-,-,-,58.80%,100*No. positive/number examined,94/160,6.7,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Bouake,2007-2016,Aged 5 or above,487,Pre-Forest,Simulium damnosum s.l,51.30%,3.12,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,18,5,Annual,1995-1996,-,79%,,40%-54%,-,,-,-,-,-,1.60%,100*No. positive/number examined,8/487,0.06,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,
62,Ananthu,,Koudou et al,Ongoing transmission,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Daloa,2007-2016,Aged 5 or above,139,Forest,Simulium damnosum s.l,50.90%,15.16,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,16,5,Annual,1995-1996,-,82%,2011,40%-54%,-,,-,-,-,-,2.90%,100*No. positive/number examined,4/139,0.19,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,5
62,Ananthu,,Koudou et al,Close to elimination,2018,Update on the current status of onchocerciasis in CÃ´te dâ€™Ivoire following 40 years of intervention: Progress and challenges,PLoS Negl Trop Dis,12:10,e0006897,Coˆte d’Ivoire,OCP,National Onchocerciasis Control Programme    ,Odienne,2007-2016,Aged 5 or above,1707,Savannah,Simulium damnosum s.l,48.60%,6.12,-,-,-,Yes,Yes (OCP),Aerial larviciding,,1992,1986,20,5,Annual,1995-1996,-,82%,2015,40%-54%,-,,-,-,-,-,0.20%,100*No. positive/number examined,3/1707,0,2 skin snips using 2mm corneoscleral punch (Holth-type) & incubated for 30 minutes & 24 hours in sterile normal saline solution,microscope,-,,-,-,,,"In 2004-2007, MDA was not implemented due to civil war, after 10 years of ivermectin (before civil unrest) prevalence had fallen",,Presence of migratory populations mentioned as a challenge,,,,1,1
